date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
04/12/1997,1997041200,51,9701,ISA,0,7.5,158.5,1002,10,0.0
04/12/1997,1997041206,51,9701,ISA,1,7.4,158.1,1002,12,0.0
04/12/1997,1997041212,51,9701,ISA,1,7.4,157.7,1000,15,0.0
04/12/1997,1997041218,51,9701,ISA,1,7.6,157.3,1000,15,0.0
04/13/1997,1997041300,51,9701,ISA,1,8.0,157.0,1000,15,0.0
04/13/1997,1997041306,51,9701,ISA,2,8.5,157.0,995,18,0.0
04/13/1997,1997041312,51,9701,ISA,2,8.9,156.9,995,18,0.0
04/13/1997,1997041318,51,9701,ISA,2,9.3,156.5,995,18,0.0
04/14/1997,1997041400,51,9701,ISA,2,9.8,155.4,995,20,0.0
04/14/1997,1997041406,51,9701,ISA,2,10.2,154.3,992,20,0.0
04/14/1997,1997041412,51,9701,ISA,2,10.2,153.2,990,23,0.0
04/14/1997,1997041418,51,9701,ISA,2,10.1,152.1,990,23,0.0
04/15/1997,1997041500,51,9701,ISA,3,10.1,150.6,990,25,0.0
04/15/1997,1997041506,51,9701,ISA,3,10.1,149.2,985,25,0.0
04/15/1997,1997041512,51,9701,ISA,3,10.2,148.2,985,25,0.0
04/15/1997,1997041518,51,9701,ISA,3,10.2,147.3,980,30,0.0
04/16/1997,1997041600,51,9701,ISA,4,10.3,146.7,975,33,0.0
04/16/1997,1997041606,51,9701,ISA,4,10.6,145.9,975,33,0.0
04/16/1997,1997041612,51,9701,ISA,4,10.8,145.1,975,33,0.0
04/16/1997,1997041618,51,9701,ISA,4,11.2,144.3,975,33,0.0
04/17/1997,1997041700,51,9701,ISA,4,11.5,143.5,970,35,0.0
04/17/1997,1997041706,51,9701,ISA,4,11.9,142.8,965,40,0.0
04/17/1997,1997041712,51,9701,ISA,4,12.4,142.0,960,40,0.0
04/17/1997,1997041718,51,9701,ISA,4,12.8,141.2,960,40,0.0
04/18/1997,1997041800,51,9701,ISA,4,13.1,140.5,960,40,0.0
04/18/1997,1997041806,51,9701,ISA,4,13.3,139.8,960,40,0.0
04/18/1997,1997041812,51,9701,ISA,4,13.5,139.3,960,40,0.0
04/18/1997,1997041818,51,9701,ISA,4,13.8,138.9,960,40,0.0
04/19/1997,1997041900,51,9701,ISA,4,14.2,138.5,960,40,0.0
04/19/1997,1997041906,51,9701,ISA,5,14.9,138.1,955,45,0.0
04/19/1997,1997041912,51,9701,ISA,5,15.3,137.9,945,50,0.0
04/19/1997,1997041918,51,9701,ISA,5,16.0,137.7,945,50,0.0
04/20/1997,1997042000,51,9701,ISA,5,16.6,137.6,945,50,0.0
04/20/1997,1997042006,51,9701,ISA,5,17.4,137.6,945,50,0.0
04/20/1997,1997042012,51,9701,ISA,5,18.2,137.5,945,50,0.0
04/20/1997,1997042018,51,9701,ISA,5,19.2,137.5,945,50,0.0
04/21/1997,1997042100,51,9701,ISA,4,20.0,137.6,955,40,0.0
04/21/1997,1997042106,51,9701,ISA,4,20.9,138.0,960,40,0.0
04/21/1997,1997042112,51,9701,ISA,4,22.1,138.7,960,40,0.0
04/21/1997,1997042118,51,9701,ISA,4,23.3,139.0,970,35,0.0
04/22/1997,1997042200,51,9701,ISA,4,24.5,139.7,975,33,0.0
04/22/1997,1997042206,51,9701,ISA,4,25.7,141.1,975,33,0.0
04/22/1997,1997042212,51,9701,ISA,3,27.0,142.7,980,30,0.0
04/22/1997,1997042218,51,9701,ISA,3,27.7,144.0,985,28,0.0
04/23/1997,1997042300,51,9701,ISA,3,27.9,145.7,990,25,0.0
04/23/1997,1997042306,51,9701,ISA,2,28.8,148.2,995,20,0.0
04/23/1997,1997042312,51,9701,ISA,2,29.8,151.3,995,20,0.0
04/23/1997,1997042318,51,9701,ISA,2,31.0,154.7,995,20,0.0
04/24/1997,1997042400,51,9701,ISA,1,32.4,158.2,1000,15,0.0
04/24/1997,1997042406,51,9701,ISA,1,34.4,161.6,1000,15,0.0
04/24/1997,1997042412,51,9701,ISA,1,36.5,164.6,1004,12,0.0
05/26/1997,1997052600,24,9702,LEVI,1,16.3,119.3,1002,12,0.0
05/26/1997,1997052606,24,9702,LEVI,1,16.3,120.7,1000,12,0.0
05/26/1997,1997052612,24,9702,LEVI,1,16.3,121.9,1000,12,0.0
05/26/1997,1997052618,24,9702,LEVI,1,16.5,123.2,1000,12,0.0
05/27/1997,1997052700,24,9702,LEVI,1,16.8,124.4,1000,15,0.0
05/27/1997,1997052706,24,9702,LEVI,1,17.7,125.4,1000,15,0.0
05/27/1997,1997052712,24,9702,LEVI,1,18.3,126.1,1000,15,0.0
05/27/1997,1997052718,24,9702,LEVI,1,19.1,126.3,1000,15,0.0
05/27/1997,1997052718,24,9703,MARIE,0,11.7,156.4,1002,10,0.0
05/28/1997,1997052800,24,9702,LEVI,2,20.0,126.4,998,18,0.0
05/28/1997,1997052800,24,9703,MARIE,0,12.2,156.9,1002,10,0.0
05/28/1997,1997052806,24,9702,LEVI,2,20.9,126.5,998,18,0.0
05/28/1997,1997052806,24,9703,MARIE,0,12.6,157.5,1002,10,0.0
05/28/1997,1997052812,24,9702,LEVI,2,21.7,126.9,995,18,0.0
05/28/1997,1997052812,24,9703,MARIE,0,13.0,158.0,1002,10,0.0
05/28/1997,1997052818,24,9702,LEVI,2,22.6,127.6,995,18,0.0
05/28/1997,1997052818,24,9703,MARIE,1,13.5,158.4,1000,12,0.0
05/29/1997,1997052900,24,9702,LEVI,2,24.0,127.2,998,18,0.0
05/29/1997,1997052900,24,9703,MARIE,1,14.2,158.8,1000,15,0.0
05/29/1997,1997052906,24,9702,LEVI,2,25.1,128.4,998,18,0.0
05/29/1997,1997052906,24,9703,MARIE,1,14.8,159.0,1000,15,0.0
05/29/1997,1997052912,24,9703,MARIE,2,15.7,159.3,998,18,0.0
05/29/1997,1997052912,24,9702,LEVI,1,26.2,130.0,998,15,0.0
05/29/1997,1997052918,24,9703,MARIE,2,16.5,159.6,995,20,0.0
05/29/1997,1997052918,24,9702,LEVI,1,27.4,132.0,998,15,0.0
05/30/1997,1997053000,24,9703,MARIE,2,17.6,159.8,995,20,0.0
05/30/1997,1997053000,24,9702,LEVI,1,28.4,134.5,998,15,0.0
05/30/1997,1997053006,24,9702,LEVI,2,29.1,137.3,998,18,0.0
05/30/1997,1997053006,24,9703,MARIE,2,18.4,159.9,990,23,0.0
05/30/1997,1997053012,24,9703,MARIE,3,19.5,159.9,985,25,0.0
05/30/1997,1997053012,24,9702,LEVI,2,29.9,139.3,995,20,0.0
05/30/1997,1997053018,24,9703,MARIE,3,20.9,160.1,980,30,0.0
05/30/1997,1997053018,24,9702,LEVI,2,30.7,141.0,998,18,0.0
05/31/1997,1997053100,24,9703,MARIE,4,22.0,160.2,975,33,0.0
05/31/1997,1997053100,24,9702,LEVI,2,31.6,142.7,998,18,0.0
05/31/1997,1997053106,24,9703,MARIE,4,23.0,160.8,975,33,0.0
05/31/1997,1997053106,24,9702,LEVI,2,32.4,144.9,998,18,0.0
05/31/1997,1997053112,24,9703,MARIE,4,24.0,161.5,975,33,0.0
05/31/1997,1997053112,24,9702,LEVI,2,33.1,146.9,998,18,0.0
05/31/1997,1997053118,24,9703,MARIE,3,25.2,162.5,980,30,0.0
05/31/1997,1997053118,24,9702,LEVI,2,33.8,149.2,998,18,0.0
06/01/1997,1997060100,24,9703,MARIE,3,26.2,164.0,980,30,0.0
06/01/1997,1997060106,24,9703,MARIE,3,27.4,165.9,985,25,0.0
06/01/1997,1997060112,24,9703,MARIE,2,28.7,168.3,990,23,0.0
06/01/1997,1997060118,24,9703,MARIE,2,30.0,171.1,995,20,0.0
06/02/1997,1997060200,24,9703,MARIE,2,31.9,173.9,998,18,0.0
06/02/1997,1997060206,24,9703,MARIE,1,34.4,177.4,1000,15,0.0
06/02/1997,1997060212,24,9703,MARIE,1,36.3,181.0,1000,15,0.0
06/07/1997,1997060706,30,9704,NESTOR,0,11.3,151.0,1006,10,0.0
06/07/1997,1997060712,30,9704,NESTOR,1,12.2,150.6,1004,12,0.0
06/07/1997,1997060718,30,9704,NESTOR,1,12.8,150.4,1000,15,0.0
06/08/1997,1997060800,30,9704,NESTOR,1,13.3,150.2,998,15,0.0
06/08/1997,1997060806,30,9704,NESTOR,2,14.0,149.9,995,20,0.0
06/08/1997,1997060812,30,9704,NESTOR,2,14.4,149.8,990,23,0.0
06/08/1997,1997060818,30,9704,NESTOR,3,14.7,149.7,990,25,0.0
06/09/1997,1997060900,30,9704,NESTOR,3,15.2,149.5,980,30,0.0
06/09/1997,1997060906,30,9704,NESTOR,4,15.6,149.2,970,35,0.0
06/09/1997,1997060912,30,9704,NESTOR,5,16.0,149.1,955,45,0.0
06/09/1997,1997060918,30,9704,NESTOR,5,16.6,148.9,955,45,0.0
06/10/1997,1997061000,30,9704,NESTOR,5,17.2,148.6,950,45,0.0
06/10/1997,1997061006,30,9704,NESTOR,5,17.8,148.0,940,50,0.0
06/10/1997,1997061012,30,9704,NESTOR,5,18.3,147.5,940,50,0.0
