date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
01/05/1992,1992010506,36,9201,Axel,1,5.2,178.5,1000,15,0.0
01/05/1992,1992010512,36,9201,Axel,1,5.5,177.5,1000,15,0.0
01/05/1992,1992010518,36,9201,Axel,1,5.8,176.5,998,15,0.0
01/06/1992,1992010600,36,9201,Axel,2,6.1,176.1,995,20,0.0
01/06/1992,1992010606,36,9201,Axel,2,6.2,175.1,995,20,0.0
01/06/1992,1992010612,36,9201,Axel,2,6.2,174.4,995,20,0.0
01/06/1992,1992010618,36,9201,Axel,2,6.2,173.0,990,20,0.0
01/07/1992,1992010700,36,9201,Axel,2,6.1,172.2,990,20,0.0
01/07/1992,1992010706,36,9201,Axel,3,5.8,170.7,985,25,0.0
01/07/1992,1992010712,36,9201,Axel,3,5.6,169.5,985,25,0.0
01/07/1992,1992010718,36,9201,Axel,3,5.6,168.8,985,25,0.0
01/08/1992,1992010800,36,9201,Axel,3,5.8,168.5,980,30,0.0
01/08/1992,1992010806,36,9201,Axel,3,5.8,167.7,980,30,0.0
01/08/1992,1992010812,36,9201,Axel,3,6.2,166.0,980,30,0.0
01/08/1992,1992010818,36,9201,Axel,3,6.5,163.9,980,30,0.0
01/09/1992,1992010900,36,9201,Axel,3,6.8,162.3,980,30,0.0
01/09/1992,1992010906,36,9201,Axel,3,7.0,160.5,980,30,0.0
01/09/1992,1992010912,36,9201,Axel,3,7.2,159.2,980,30,0.0
01/09/1992,1992010918,36,9201,Axel,3,7.2,157.3,980,30,0.0
01/10/1992,1992011000,36,9201,Axel,3,7.3,155.8,985,25,0.0
01/10/1992,1992011006,36,9201,Axel,3,8.2,154.7,985,25,0.0
01/10/1992,1992011012,36,9201,Axel,2,8.5,153.7,990,20,0.0
01/10/1992,1992011018,36,9201,Axel,2,8.9,152.9,995,20,0.0
01/11/1992,1992011100,36,9201,Axel,2,9.6,152.4,995,20,0.0
01/11/1992,1992011106,36,9201,Axel,2,9.6,151.4,995,20,0.0
01/11/1992,1992011112,36,9201,Axel,1,9.8,150.4,998,15,0.0
01/11/1992,1992011118,36,9201,Axel,1,10.1,149.3,998,15,0.0
01/12/1992,1992011200,36,9201,Axel,1,10.3,148.0,998,15,0.0
01/12/1992,1992011206,36,9201,Axel,1,10.4,146.1,998,15,0.0
01/12/1992,1992011212,36,9201,Axel,1,10.5,144.5,998,15,0.0
01/12/1992,1992011218,36,9201,Axel,1,10.7,143.4,1000,15,0.0
01/13/1992,1992011300,36,9201,Axel,1,11.3,143.2,1000,15,0.0
01/13/1992,1992011306,36,9201,Axel,1,12.2,143.0,1000,15,0.0
01/13/1992,1992011312,36,9201,Axel,1,13.2,142.5,1002,15,0.0
01/13/1992,1992011318,36,9201,Axel,1,13.9,141.9,1002,15,0.0
01/14/1992,1992011400,36,9201,Axel,1,14.2,140.8,1004,12,0.0
02/03/1992,1992020312,21,9202,Ekeka,2,9.0,181.4,990,20,0.0
02/03/1992,1992020318,21,9202,Ekeka,2,9.5,179.8,990,20,0.0
02/04/1992,1992020400,21,9202,Ekeka,2,9.3,178.2,990,20,0.0
02/04/1992,1992020406,21,9202,Ekeka,2,9.3,176.8,990,20,0.0
02/04/1992,1992020412,21,9202,Ekeka,2,9.2,174.7,990,20,0.0
02/04/1992,1992020418,21,9202,Ekeka,1,9.5,173.1,998,15,0.0
02/05/1992,1992020500,21,9202,Ekeka,1,9.8,171.3,998,15,0.0
02/05/1992,1992020506,21,9202,Ekeka,1,10.2,169.6,1000,15,0.0
02/05/1992,1992020512,21,9202,Ekeka,1,10.7,168.5,1004,15,0.0
02/05/1992,1992020518,21,9202,Ekeka,1,11.3,167.0,1004,15,0.0
02/06/1992,1992020600,21,9202,Ekeka,1,11.2,165.4,1004,15,0.0
02/06/1992,1992020606,21,9202,Ekeka,1,10.9,164.4,1006,15,0.0
02/06/1992,1992020612,21,9202,Ekeka,1,10.5,163.3,1006,15,0.0
