date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
04/21/1999,1999042118,35,9901,KATE,0,9.0,126.0,1004,10,0.0
04/22/1999,1999042200,35,9901,KATE,0,10.0,126.0,1004,10,0.0
04/22/1999,1999042206,35,9901,KATE,1,11.5,125.5,1002,12,0.0
04/22/1999,1999042212,35,9901,KATE,1,12.5,125.4,1002,12,0.0
04/22/1999,1999042218,35,9901,KATE,1,13.6,125.8,1002,12,0.0
04/23/1999,1999042300,35,9901,KATE,1,13.9,126.6,1000,12,0.0
04/23/1999,1999042306,35,9901,KATE,1,14.1,126.8,1000,12,0.0
04/23/1999,1999042312,35,9901,KATE,1,14.2,127.2,998,15,0.0
04/23/1999,1999042318,35,9901,KATE,2,14.3,127.8,998,18,0.0
04/24/1999,1999042400,35,9901,KATE,2,14.7,128.7,995,20,0.0
04/24/1999,1999042406,35,9901,KATE,2,15.0,129.2,992,23,0.0
04/24/1999,1999042412,35,9901,KATE,2,15.4,130.0,990,23,0.0
04/24/1999,1999042418,35,9901,KATE,2,16.0,130.5,990,23,0.0
04/25/1999,1999042500,35,9901,KATE,2,16.5,130.8,990,23,0.0
04/25/1999,1999042506,35,9901,KATE,3,17.4,131.3,985,25,0.0
04/25/1999,1999042512,35,9901,KATE,3,18.5,132.0,985,25,0.0
04/25/1999,1999042518,35,9901,KATE,3,19.2,132.3,985,28,0.0
04/26/1999,1999042600,35,9901,KATE,3,19.9,133.0,980,30,0.0
04/26/1999,1999042606,35,9901,KATE,3,20.6,133.9,980,30,0.0
04/26/1999,1999042612,35,9901,KATE,3,21.1,134.8,980,30,0.0
04/26/1999,1999042618,35,9901,KATE,3,22.1,136.3,985,25,0.0
04/27/1999,1999042700,35,9901,KATE,3,23.2,138.2,985,25,0.0
04/27/1999,1999042700,24,9902,LEO,1,13.7,113.1,1002,12,0.0
04/27/1999,1999042706,35,9901,KATE,3,24.0,140.1,985,25,0.0
04/27/1999,1999042706,24,9902,LEO,1,14.7,112.9,1002,12,0.0
04/27/1999,1999042712,35,9901,KATE,3,25.1,141.7,985,25,0.0
04/27/1999,1999042712,24,9902,LEO,1,15.4,112.6,1002,12,0.0
04/27/1999,1999042718,35,9901,KATE,3,26.2,143.3,985,25,0.0
04/27/1999,1999042718,24,9902,LEO,1,15.6,112.1,1000,15,0.0
04/28/1999,1999042800,35,9901,KATE,3,27.1,144.9,985,25,0.0
04/28/1999,1999042800,24,9902,LEO,1,15.8,111.5,998,15,0.0
04/28/1999,1999042806,35,9901,KATE,2,28.2,147.1,990,20,0.0
04/28/1999,1999042806,24,9902,LEO,1,15.5,111.0,998,15,0.0
04/28/1999,1999042812,35,9901,KATE,2,29.1,149.2,995,18,0.0
04/28/1999,1999042812,24,9902,LEO,1,15.4,111.3,998,15,0.0
04/28/1999,1999042818,35,9901,KATE,2,30.1,151.8,995,18,0.0
04/28/1999,1999042818,24,9902,LEO,2,15.5,111.7,995,18,0.0
04/29/1999,1999042900,24,9902,LEO,2,16.5,112.9,995,20,0.0
04/29/1999,1999042900,35,9901,KATE,1,31.1,154.2,998,15,0.0
04/29/1999,1999042906,24,9902,LEO,2,17.1,113.5,990,23,0.0
04/29/1999,1999042906,35,9901,KATE,1,31.5,156.7,998,15,0.0
04/29/1999,1999042912,24,9902,LEO,3,17.5,113.8,985,25,0.0
04/29/1999,1999042912,35,9901,KATE,1,32.7,159.4,1000,15,0.0
04/29/1999,1999042918,24,9902,LEO,3,18.0,114.2,980,30,0.0
04/29/1999,1999042918,35,9901,KATE,1,33.2,161.2,1004,12,0.0
04/30/1999,1999043000,24,9902,LEO,4,18.3,114.5,970,35,0.0
04/30/1999,1999043000,35,9901,KATE,0,34.0,162.5,1006,10,0.0
04/30/1999,1999043006,24,9902,LEO,4,19.0,114.8,970,35,0.0
04/30/1999,1999043006,35,9901,KATE,0,35.0,163.9,1008,10,0.0
04/30/1999,1999043012,24,9902,LEO,4,19.6,115.0,970,35,0.0
04/30/1999,1999043018,24,9902,LEO,4,20.0,115.4,970,35,0.0
05/01/1999,1999050100,24,9902,LEO,3,20.4,115.6,975,30,0.0
05/01/1999,1999050106,24,9902,LEO,3,20.7,115.7,980,30,0.0
05/01/1999,1999050112,24,9902,LEO,3,21.0,115.3,985,25,0.0
05/01/1999,1999050118,24,9902,LEO,2,21.2,115.0,985,23,0.0
05/02/1999,1999050200,24,9902,LEO,2,21.4,114.8,990,20,0.0
05/02/1999,1999050206,24,9902,LEO,2,21.9,114.7,995,18,0.0
05/02/1999,1999050212,24,9902,LEO,1,22.4,114.7,1000,15,0.0
05/02/1999,1999050218,24,9902,LEO,1,22.8,115.0,1002,12,0.0
06/01/1999,1999060106,31,9903,MAGGIE,1,12.0,130.0,1004,12,0.0
06/01/1999,1999060112,31,9903,MAGGIE,1,12.4,129.6,1004,12,0.0
06/01/1999,1999060118,31,9903,MAGGIE,1,12.8,129.8,1002,15,0.0
06/02/1999,1999060200,31,9903,MAGGIE,1,13.2,129.9,1000,15,0.0
06/02/1999,1999060206,31,9903,MAGGIE,2,13.5,129.8,995,20,0.0
06/02/1999,1999060212,31,9903,MAGGIE,2,13.8,129.7,990,23,0.0
06/02/1999,1999060218,31,9903,MAGGIE,2,14.2,129.6,990,23,0.0
06/03/1999,1999060300,31,9903,MAGGIE,3,14.7,129.5,985,25,0.0
06/03/1999,1999060306,31,9903,MAGGIE,3,15.4,129.0,980,28,0.0
06/03/1999,1999060312,31,9903,MAGGIE,3,15.9,128.5,980,28,0.0
06/03/1999,1999060318,31,9903,MAGGIE,3,16.6,127.9,980,30,0.0
06/04/1999,1999060400,31,9903,MAGGIE,4,17.1,127.0,975,33,0.0
06/04/1999,1999060406,31,9903,MAGGIE,4,17.3,126.4,970,35,0.0
06/04/1999,1999060412,31,9903,MAGGIE,4,17.6,125.9,965,40,0.0
06/04/1999,1999060418,31,9903,MAGGIE,4,18.1,125.2,960,40,0.0
06/05/1999,1999060500,31,9903,MAGGIE,4,18.9,124.5,960,40,0.0
06/05/1999,1999060506,31,9903,MAGGIE,4,19.7,123.6,960,40,0.0
06/05/1999,1999060512,31,9903,MAGGIE,4,20.5,122.3,965,40,0.0
06/05/1999,1999060518,31,9903,MAGGIE,4,21.0,121.0,965,40,0.0
06/06/1999,1999060600,31,9903,MAGGIE,4,22.0,119.8,970,35,0.0
06/06/1999,1999060606,31,9903,MAGGIE,4,22.5,118.2,970,35,0.0
06/06/1999,1999060612,31,9903,MAGGIE,4,22.9,116.5,970,35,0.0
06/06/1999,1999060618,31,9903,MAGGIE,3,22.7,114.7,980,28,0.0
06/07/1999,1999060700,31,9903,MAGGIE,3,21.9,113.4,980,25,0.0
06/07/1999,1999060706,31,9903,MAGGIE,3,21.3,112.6,980,25,0.0
06/07/1999,1999060712,31,9903,MAGGIE,3,21.7,112.8,980,25,0.0
06/07/1999,1999060718,31,9903,MAGGIE,2,22.1,112.9,985,20,0.0
06/08/1999,1999060800,31,9903,MAGGIE,1,23.3,112.1,990,15,0.0
06/08/1999,1999060806,31,9903,MAGGIE,1,23.9,110.7,996,12,0.0
06/08/1999,1999060812,31,9903,MAGGIE,0,23.6,110.0,998,10,0.0
06/08/1999,1999060818,31,9903,MAGGIE,0,23.3,109.2,1000,10,0.0
07/22/1999,1999072206,25,9904,NEIL,0,17.4,128.8,1000,10,0.0
07/22/1999,1999072212,25,9904,NEIL,0,17.2,127.8,1000,10,0.0
07/22/1999,1999072218,25,9904,NEIL,1,17.0,126.7,996,12,0.0
07/23/1999,1999072300,25,9904,NEIL,1,17.2,125.7,996,12,0.0
07/23/1999,1999072306,25,9904,NEIL,1,17.3,125.0,992,15,0.0
07/23/1999,1999072312,25,9904,NEIL,1,17.4,124.6,992,15,0.0
07/23/1999,1999072318,25,9904,NEIL,1,17.7,124.3,992,15,0.0
07/24/1999,1999072400,25,9904,NEIL,1,18.4,124.2,992,15,0.0
07/24/1999,1999072406,25,9904,NEIL,1,19.5,124.5,992,15,0.0
07/24/1999,1999072412,25,9904,NEIL,1,21.2,125.5,992,15,0.0
07/24/1999,1999072418,25,9904,NEIL,1,21.6,126.3,992,15,0.0
