date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
05/06/2011,2011050612,29,1101,Aere,1,11.7,128.2,1002,15,0.0
05/06/2011,2011050618,29,1101,Aere,1,11.9,127.3,1000,15,0.0
05/07/2011,2011050700,29,1101,Aere,1,12.5,126.6,1000,15,0.0
05/07/2011,2011050706,29,1101,Aere,2,12.9,126.0,998,18,0.0
05/07/2011,2011050712,29,1101,Aere,2,13.2,125.3,990,20,0.0
05/07/2011,2011050718,29,1101,Aere,2,13.5,124.7,990,20,0.0
05/08/2011,2011050800,29,1101,Aere,2,13.8,124.1,990,23,0.0
05/08/2011,2011050806,29,1101,Aere,2,14.5,123.6,990,23,0.0
05/08/2011,2011050812,29,1101,Aere,2,15.1,123.0,990,23,0.0
05/08/2011,2011050818,29,1101,Aere,2,15.6,122.8,990,23,0.0
05/09/2011,2011050900,29,1101,Aere,2,16.4,122.5,990,23,0.0
05/09/2011,2011050906,29,1101,Aere,2,17.2,122.2,995,20,0.0
05/09/2011,2011050912,29,1101,Aere,2,18.0,122.2,995,18,0.0
05/09/2011,2011050918,29,1101,Aere,2,19.0,122.3,995,18,0.0
05/10/2011,2011051000,29,1101,Aere,2,20.3,122.5,995,18,0.0
05/10/2011,2011051006,29,1101,Aere,2,21.1,122.9,995,18,0.0
05/10/2011,2011051012,29,1101,Aere,2,22.3,123.8,995,18,0.0
05/10/2011,2011051018,29,1101,Aere,2,23.5,124.8,995,18,0.0
05/11/2011,2011051100,29,1101,Aere,2,25.1,126.2,995,18,0.0
05/11/2011,2011051106,29,1101,Aere,2,26.6,127.6,995,18,0.0
05/11/2011,2011051112,29,1101,Aere,2,28.4,129.5,995,18,0.0
05/11/2011,2011051118,29,1101,Aere,2,30.0,132.0,995,18,0.0
05/12/2011,2011051200,29,1101,Aere,1,31.2,134.6,998,16,0.0
05/12/2011,2011051206,29,1101,Aere,1,32.7,137.2,998,16,0.0
05/12/2011,2011051212,29,1101,Aere,1,34.5,140.7,998,16,0.0
05/12/2011,2011051218,29,1101,Aere,9,36.4,143.3,998,16,0.0
05/13/2011,2011051300,29,1101,Aere,9,37.9,145.8,988,20,0.0
05/13/2011,2011051306,29,1101,Aere,9,39.2,148.1,986,20,0.0
05/13/2011,2011051312,29,1101,Aere,9,41.1,150.7,986,20,0.0
05/19/2011,2011051918,46,1102,Songda,1,8.3,141.5,1006,15,0.0
05/20/2011,2011052000,46,1102,Songda,1,8.3,141.1,1006,15,0.0
05/20/2011,2011052006,46,1102,Songda,1,8.3,140.6,1004,15,0.0
05/20/2011,2011052012,46,1102,Songda,1,8.4,140.0,1004,15,0.0
05/20/2011,2011052018,46,1102,Songda,1,8.5,139.3,1004,15,0.0
05/21/2011,2011052100,46,1102,Songda,1,8.6,138.8,1004,15,0.0
05/21/2011,2011052106,46,1102,Songda,1,8.9,138.2,1002,15,0.0
05/21/2011,2011052112,46,1102,Songda,1,9.1,137.8,1000,15,0.0
05/21/2011,2011052118,46,1102,Songda,2,9.4,137.4,998,18,0.0
05/22/2011,2011052200,46,1102,Songda,2,9.7,136.9,995,20,0.0
05/22/2011,2011052206,46,1102,Songda,2,9.9,136.3,990,23,0.0
