date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
01/14/2005,2005011400,23,501,Kulap,1,6.0,150.2,1004,15,0.0
01/14/2005,2005011406,23,501,Kulap,1,5.7,148.0,1002,15,0.0
01/14/2005,2005011412,23,501,Kulap,1,6.0,147.4,1000,15,0.0
01/14/2005,2005011418,23,501,Kulap,1,6.8,147.1,1000,15,0.0
01/15/2005,2005011500,23,501,Kulap,1,7.5,146.3,1000,15,0.0
01/15/2005,2005011506,23,501,Kulap,1,8.1,147.4,998,15,0.0
01/15/2005,2005011512,23,501,Kulap,2,9.5,147.4,995,18,0.0
01/15/2005,2005011518,23,501,Kulap,2,10.4,146.9,992,20,0.0
01/16/2005,2005011600,23,501,Kulap,2,11.5,146.6,992,20,0.0
01/16/2005,2005011606,23,501,Kulap,2,12.5,146.2,990,23,0.0
01/16/2005,2005011612,23,501,Kulap,2,13.1,145.9,990,23,0.0
01/16/2005,2005011618,23,501,Kulap,2,13.5,146.5,990,23,0.0
01/17/2005,2005011700,23,501,Kulap,2,14.2,147.7,990,23,0.0
01/17/2005,2005011706,23,501,Kulap,2,14.9,148.6,990,23,0.0
01/17/2005,2005011712,23,501,Kulap,2,15.7,149.6,990,23,0.0
01/17/2005,2005011718,23,501,Kulap,3,16.3,150.7,985,25,0.0
01/18/2005,2005011800,23,501,Kulap,3,16.7,151.6,985,25,0.0
01/18/2005,2005011806,23,501,Kulap,3,17.3,152.6,985,25,0.0
01/18/2005,2005011812,23,501,Kulap,3,17.6,153.2,985,25,0.0
01/18/2005,2005011818,23,501,Kulap,2,18.0,153.8,990,23,0.0
01/19/2005,2005011900,23,501,Kulap,2,18.4,154.4,1000,18,0.0
01/19/2005,2005011906,23,501,Kulap,1,18.7,155.1,1004,15,0.0
01/19/2005,2005011912,23,501,Kulap,1,18.9,155.8,1010,12,0.0
03/12/2005,2005031200,30,502,Roke,0,6.0,151.4,1008,10,0.0
03/12/2005,2005031206,30,502,Roke,0,6.3,150.9,1006,10,0.0
03/12/2005,2005031212,30,502,Roke,0,6.7,150.2,1006,10,0.0
03/12/2005,2005031218,30,502,Roke,0,7.0,149.5,1006,10,0.0
03/13/2005,2005031300,30,502,Roke,0,7.3,148.5,1006,10,0.0
03/13/2005,2005031306,30,502,Roke,1,7.9,147.1,1004,12,0.0
03/13/2005,2005031312,30,502,Roke,1,8.4,145.5,1002,15,0.0
03/13/2005,2005031318,30,502,Roke,1,9.3,143.7,1000,15,0.0
03/14/2005,2005031400,30,502,Roke,1,9.9,142.5,1000,15,0.0
03/14/2005,2005031406,30,502,Roke,1,10.4,141.2,1000,15,0.0
03/14/2005,2005031412,30,502,Roke,1,10.6,140.0,1000,15,0.0
03/14/2005,2005031418,30,502,Roke,1,10.9,138.7,1000,15,0.0
03/15/2005,2005031500,30,502,Roke,2,11.5,137.5,996,18,0.0
03/15/2005,2005031506,30,502,Roke,2,12.1,136.0,992,20,0.0
03/15/2005,2005031512,30,502,Roke,2,12.3,134.5,992,20,0.0
03/15/2005,2005031518,30,502,Roke,2,12.2,132.9,990,23,0.0
03/16/2005,2005031600,30,502,Roke,3,11.8,131.1,990,25,0.0
03/16/2005,2005031606,30,502,Roke,3,11.7,128.9,980,30,0.0
03/16/2005,2005031612,30,502,Roke,3,11.5,126.6,980,30,0.0
03/16/2005,2005031618,30,502,Roke,3,11.0,124.7,990,25,0.0
03/17/2005,2005031700,30,502,Roke,2,11.0,122.8,990,23,0.0
03/17/2005,2005031706,30,502,Roke,2,11.5,121.1,995,20,0.0
03/17/2005,2005031712,30,502,Roke,2,12.0,120.0,996,18,0.0
03/17/2005,2005031718,30,502,Roke,1,11.8,118.6,1002,15,0.0
03/18/2005,2005031800,30,502,Roke,1,11.9,117.1,1004,12,0.0
03/18/2005,2005031806,30,502,Roke,1,11.9,115.9,1004,12,0.0
03/18/2005,2005031812,30,502,Roke,0,11.6,114.6,1006,10,0.0
03/18/2005,2005031818,30,502,Roke,0,11.4,113.4,1006,10,0.0
03/19/2005,2005031900,30,502,Roke,0,10.9,112.0,1006,10,0.0
03/19/2005,2005031906,30,502,Roke,0,10.5,110.5,1006,10,0.0
04/21/2005,2005042106,33,503,Sonca,1,8.7,141.9,1004,12,0.0
04/21/2005,2005042112,33,503,Sonca,1,9.9,139.9,1004,12,0.0
04/21/2005,2005042118,33,503,Sonca,1,10.6,138.6,1004,12,0.0
04/22/2005,2005042200,33,503,Sonca,1,11.0,137.4,1004,12,0.0
