date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
03/30/2007,2007033012,27,701,Kong-rey,1,5.8,158.2,1006,12,0.0
03/30/2007,2007033018,27,701,Kong-rey,1,6.3,158.1,1002,15,0.0
03/31/2007,2007033100,27,701,Kong-rey,1,6.7,157.9,1002,15,0.0
03/31/2007,2007033106,27,701,Kong-rey,1,7.1,156.6,1002,15,0.0
03/31/2007,2007033112,27,701,Kong-rey,1,7.6,155.5,1000,15,0.0
03/31/2007,2007033118,27,701,Kong-rey,1,8.4,154.2,1000,15,0.0
04/01/2007,2007040100,27,701,Kong-rey,2,9.7,152.8,998,18,0.0
04/01/2007,2007040106,27,701,Kong-rey,2,10.2,152.1,996,20,0.0
04/01/2007,2007040112,27,701,Kong-rey,2,10.4,151.4,990,23,0.0
04/01/2007,2007040118,27,701,Kong-rey,3,11.0,150.8,990,25,0.0
04/02/2007,2007040200,27,701,Kong-rey,3,12.1,149.6,985,28,0.0
04/02/2007,2007040206,27,701,Kong-rey,3,13.4,148.9,980,30,0.0
04/02/2007,2007040212,27,701,Kong-rey,4,14.5,147.7,980,33,0.0
04/02/2007,2007040218,27,701,Kong-rey,4,15.2,146.8,975,33,0.0
04/03/2007,2007040300,27,701,Kong-rey,4,16.1,145.8,970,35,0.0
04/03/2007,2007040306,27,701,Kong-rey,4,16.9,144.7,970,35,0.0
04/03/2007,2007040312,27,701,Kong-rey,4,17.7,144.3,960,40,0.0
04/03/2007,2007040318,27,701,Kong-rey,4,18.7,144.3,960,40,0.0
04/04/2007,2007040400,27,701,Kong-rey,4,20.0,144.3,965,40,0.0
04/04/2007,2007040406,27,701,Kong-rey,4,21.0,145.1,970,35,0.0
04/04/2007,2007040412,27,701,Kong-rey,3,22.0,146.5,980,30,0.0
04/04/2007,2007040418,27,701,Kong-rey,3,22.8,148.0,990,25,0.0
04/05/2007,2007040500,27,701,Kong-rey,2,23.9,150.1,990,23,0.0
04/05/2007,2007040506,27,701,Kong-rey,2,25.1,152.5,996,18,0.0
04/05/2007,2007040512,27,701,Kong-rey,2,25.9,155.0,996,18,0.0
04/05/2007,2007040518,27,701,Kong-rey,1,26.6,157.5,998,15,0.0
04/06/2007,2007040600,27,701,Kong-rey,9,27.0,160.0,1002,15,0.0
05/15/2007,2007051506,32,702,Yutu,1,8.1,146.6,1004,12,0.0
05/15/2007,2007051512,32,702,Yutu,1,8.2,146.2,1004,12,0.0
05/15/2007,2007051518,32,702,Yutu,1,8.4,145.4,1004,12,0.0
05/16/2007,2007051600,32,702,Yutu,1,8.9,144.7,1004,12,0.0
05/16/2007,2007051606,32,702,Yutu,1,9.0,144.1,1002,15,0.0
05/16/2007,2007051612,32,702,Yutu,1,9.0,143.2,1002,15,0.0
05/16/2007,2007051618,32,702,Yutu,1,8.8,141.9,1000,15,0.0
05/17/2007,2007051700,32,702,Yutu,1,8.9,140.7,1000,15,0.0
05/17/2007,2007051706,32,702,Yutu,2,9.2,139.1,995,18,0.0
05/17/2007,2007051712,32,702,Yutu,2,9.6,138.0,995,20,0.0
05/17/2007,2007051718,32,702,Yutu,2,10.5,137.1,990,23,0.0
05/18/2007,2007051800,32,702,Yutu,2,11.4,136.1,990,23,0.0
05/18/2007,2007051806,32,702,Yutu,3,12.4,134.6,985,28,0.0
05/18/2007,2007051812,32,702,Yutu,3,13.2,133.6,980,30,0.0
05/18/2007,2007051818,32,702,Yutu,4,14.1,132.9,975,33,0.0
05/19/2007,2007051900,32,702,Yutu,4,15.1,132.4,970,35,0.0
05/19/2007,2007051906,32,702,Yutu,4,16.2,132.2,965,40,0.0
05/19/2007,2007051912,32,702,Yutu,4,17.1,132.3,960,40,0.0
05/19/2007,2007051918,32,702,Yutu,5,17.7,132.7,950,45,0.0
05/20/2007,2007052000,32,702,Yutu,5,18.3,133.5,950,45,0.0
05/20/2007,2007052006,32,702,Yutu,5,19.0,134.3,950,45,0.0
05/20/2007,2007052012,32,702,Yutu,5,19.8,135.3,940,50,0.0
05/20/2007,2007052018,32,702,Yutu,5,20.8,136.4,940,50,0.0
05/21/2007,2007052100,32,702,Yutu,5,21.7,137.7,950,45,0.0
05/21/2007,2007052106,32,702,Yutu,5,22.9,139.1,950,45,0.0
05/21/2007,2007052112,32,702,Yutu,5,24.0,140.7,950,45,0.0
05/21/2007,2007052118,32,702,Yutu,4,25.2,142.5,960,40,0.0
05/22/2007,2007052200,32,702,Yutu,4,26.2,144.5,970,35,0.0
