date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
05/05/2000,2000050500,31,1,Damrey,1,9.6,136.0,1004,15,0.0
05/05/2000,2000050506,31,1,Damrey,1,9.9,135.0,1004,15,0.0
05/05/2000,2000050512,31,1,Damrey,1,10.2,134.4,1004,15,0.0
05/05/2000,2000050518,31,1,Damrey,1,10.7,133.7,1002,15,0.0
05/06/2000,2000050600,31,1,Damrey,1,11.1,133.0,1002,15,0.0
05/06/2000,2000050606,31,1,Damrey,1,11.8,132.3,1002,15,0.0
05/06/2000,2000050612,31,1,Damrey,1,12.5,132.1,1000,15,0.0
05/06/2000,2000050618,31,1,Damrey,1,13.0,131.8,1000,15,0.0
05/07/2000,2000050700,31,1,Damrey,2,13.2,131.6,995,20,0.0
05/07/2000,2000050706,31,1,Damrey,3,13.4,131.3,985,25,0.0
05/07/2000,2000050712,31,1,Damrey,3,13.7,131.2,980,28,0.0
05/07/2000,2000050718,31,1,Damrey,3,13.8,131.3,980,30,0.0
05/08/2000,2000050800,31,1,Damrey,4,14.0,131.5,975,33,0.0
05/08/2000,2000050806,31,1,Damrey,4,14.3,132.0,970,35,0.0
05/08/2000,2000050812,31,1,Damrey,4,14.6,132.4,970,35,0.0
05/08/2000,2000050818,31,1,Damrey,4,15.1,133.0,965,40,0.0
05/09/2000,2000050900,31,1,Damrey,5,15.6,133.5,955,45,0.0
05/09/2000,2000050906,31,1,Damrey,5,16.4,134.4,945,50,0.0
05/09/2000,2000050912,31,1,Damrey,5,17.3,135.3,940,50,0.0
05/09/2000,2000050918,31,1,Damrey,5,18.7,136.0,935,50,0.0
05/10/2000,2000051000,31,1,Damrey,5,19.5,136.8,935,50,0.0
05/10/2000,2000051006,31,1,Damrey,5,20.8,137.8,945,45,0.0
05/10/2000,2000051012,31,1,Damrey,4,22.2,138.8,955,40,0.0
05/10/2000,2000051018,31,1,Damrey,4,23.0,139.5,955,40,0.0
05/11/2000,2000051100,31,1,Damrey,4,23.7,139.9,965,35,0.0
05/11/2000,2000051106,31,1,Damrey,3,25.1,141.1,975,30,0.0
05/11/2000,2000051112,31,1,Damrey,3,26.0,142.0,980,28,0.0
05/11/2000,2000051118,31,1,Damrey,3,26.9,143.5,980,25,0.0
05/12/2000,2000051200,31,1,Damrey,2,27.7,145.9,990,20,0.0
05/12/2000,2000051206,31,1,Damrey,2,28.3,147.9,995,18,0.0
05/12/2000,2000051212,31,1,Damrey,9,28.4,149.5,998,15,0.0
05/17/2000,2000051712,15,2,Longwang,0,16.0,119.2,1002,10,0.0
05/17/2000,2000051718,15,2,Longwang,1,16.1,120.5,1000,12,0.0
05/18/2000,2000051800,15,2,Longwang,1,16.2,121.2,1000,12,0.0
05/18/2000,2000051806,15,2,Longwang,1,17.9,122.5,998,12,0.0
05/18/2000,2000051812,15,2,Longwang,1,19.0,123.3,998,12,0.0
05/18/2000,2000051818,15,2,Longwang,1,20.4,124.5,998,15,0.0
05/19/2000,2000051900,15,2,Longwang,2,21.3,125.5,995,20,0.0
05/19/2000,2000051906,15,2,Longwang,2,22.3,126.9,995,20,0.0
05/19/2000,2000051912,15,2,Longwang,2,23.2,128.6,995,20,0.0
05/19/2000,2000051918,15,2,Longwang,2,24.7,130.8,990,23,0.0
05/20/2000,2000052000,15,2,Longwang,2,26.4,135.0,995,20,0.0
05/20/2000,2000052006,15,2,Longwang,9,28.2,139.0,998,15,0.0
05/20/2000,2000052012,15,2,Longwang,9,30.2,142.0,1000,15,0.0
05/20/2000,2000052018,15,2,Longwang,9,31.3,144.8,1000,15,0.0
05/21/2000,2000052100,15,2,Longwang,9,33.5,146.8,1000,15,0.0
07/02/2000,2000070212,37,4,Kai-tak,1,15.3,117.2,1002,12,0.0
07/02/2000,2000070212,27,3,Kirogi,1,14.0,133.0,1002,15,0.0
07/02/2000,2000070218,37,4,Kai-tak,1,15.7,117.5,1002,12,0.0
07/02/2000,2000070218,27,3,Kirogi,1,14.4,132.4,1000,15,0.0
07/03/2000,2000070300,27,3,Kirogi,2,15.3,132.0,995,20,0.0
07/03/2000,2000070300,37,4,Kai-tak,1,15.9,117.8,1000,12,0.0
07/03/2000,2000070306,27,3,Kirogi,2,16.2,132.0,995,20,0.0
07/03/2000,2000070306,37,4,Kai-tak,1,16.0,118.3,998,15,0.0
07/03/2000,2000070312,27,3,Kirogi,3,16.7,131.7,985,25,0.0
07/03/2000,2000070312,37,4,Kai-tak,1,16.1,118.8,998,15,0.0
