date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
01/12/1990,1990011206,22,9001,Koryn,1,7.0,152.5,1000,15,0.0
01/12/1990,1990011212,22,9001,Koryn,1,8.0,151.5,1000,15,0.0
01/12/1990,1990011218,22,9001,Koryn,1,8.5,150.5,998,15,0.0
01/13/1990,1990011300,22,9001,Koryn,1,9.0,149.5,998,15,0.0
01/13/1990,1990011306,22,9001,Koryn,2,9.7,148.2,995,20,0.0
01/13/1990,1990011312,22,9001,Koryn,2,11.2,146.6,995,20,0.0
01/13/1990,1990011318,22,9001,Koryn,2,12.7,145.5,995,20,0.0
01/14/1990,1990011400,22,9001,Koryn,3,13.3,145.4,990,25,0.0
01/14/1990,1990011406,22,9001,Koryn,3,14.0,145.5,985,25,0.0
01/14/1990,1990011412,22,9001,Koryn,3,14.5,145.5,980,30,0.0
01/14/1990,1990011418,22,9001,Koryn,4,15.0,145.6,970,35,0.0
01/15/1990,1990011500,22,9001,Koryn,4,15.5,145.8,970,35,0.0
01/15/1990,1990011506,22,9001,Koryn,3,16.2,146.1,980,30,0.0
01/15/1990,1990011512,22,9001,Koryn,3,16.6,146.2,980,30,0.0
01/15/1990,1990011518,22,9001,Koryn,3,17.1,146.2,985,25,0.0
01/16/1990,1990011600,22,9001,Koryn,3,17.8,146.2,985,25,0.0
01/16/1990,1990011606,22,9001,Koryn,3,19.4,146.4,990,25,0.0
01/16/1990,1990011612,22,9001,Koryn,3,21.2,146.9,990,25,0.0
01/16/1990,1990011618,22,9001,Koryn,2,22.8,148.3,995,20,0.0
01/17/1990,1990011700,22,9001,Koryn,2,24.0,151.0,995,20,0.0
01/17/1990,1990011706,22,9001,Koryn,2,26.0,154.5,995,20,0.0
01/17/1990,1990011712,22,9001,Koryn,1,29.5,160.0,995,15,0.0
04/28/1990,1990042800,23,9002,Lewis,0,5.0,152.0,1005,10,0.0
04/28/1990,1990042806,23,9002,Lewis,1,6.0,152.0,1004,12,0.0
04/28/1990,1990042812,23,9002,Lewis,1,7.0,151.6,1004,12,0.0
04/28/1990,1990042818,23,9002,Lewis,1,8.0,151.0,1000,15,0.0
