date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
01/10/2002,2002011006,16,201,Tapah,1,9.2,134.0,1005,12,0.0
01/10/2002,2002011012,16,201,Tapah,1,9.6,133.4,1005,12,0.0
01/10/2002,2002011018,16,201,Tapah,1,9.9,132.5,1004,15,0.0
01/11/2002,2002011100,16,201,Tapah,1,10.2,131.6,1004,15,0.0
01/11/2002,2002011106,16,201,Tapah,1,10.8,131.0,1004,15,0.0
01/11/2002,2002011112,16,201,Tapah,1,11.4,130.1,1002,15,0.0
01/11/2002,2002011118,16,201,Tapah,1,11.7,129.1,1002,15,0.0
01/12/2002,2002011200,16,201,Tapah,1,12.2,128.0,1002,15,0.0
01/12/2002,2002011206,16,201,Tapah,2,12.9,126.7,998,18,0.0
01/12/2002,2002011212,16,201,Tapah,2,13.9,125.5,995,20,0.0
01/12/2002,2002011218,16,201,Tapah,2,14.5,124.6,995,20,0.0
01/13/2002,2002011300,16,201,Tapah,2,15.1,123.9,998,18,0.0
01/13/2002,2002011306,16,201,Tapah,2,15.5,123.1,998,18,0.0
01/13/2002,2002011312,16,201,Tapah,1,16.2,122.4,1000,15,0.0
01/13/2002,2002011318,16,201,Tapah,1,17.3,122.2,1002,15,0.0
01/14/2002,2002011400,16,201,Tapah,1,19.0,122.1,1004,12,0.0
02/26/2002,2002022618,40,202,Mitag,1,6.0,155.5,1004,12,0.0
02/27/2002,2002022700,40,202,Mitag,1,6.2,155.3,1004,12,0.0
02/27/2002,2002022706,40,202,Mitag,1,6.5,155.0,1002,12,0.0
02/27/2002,2002022712,40,202,Mitag,1,6.7,154.6,1000,15,0.0
02/27/2002,2002022718,40,202,Mitag,1,6.8,154.0,1000,15,0.0
02/28/2002,2002022800,40,202,Mitag,1,7.0,153.3,1000,15,0.0
02/28/2002,2002022806,40,202,Mitag,1,7.1,152.2,998,15,0.0
02/28/2002,2002022812,40,202,Mitag,2,7.1,151.2,995,18,0.0
02/28/2002,2002022818,40,202,Mitag,2,7.1,150.2,995,20,0.0
03/01/2002,2002030100,40,202,Mitag,2,6.7,148.9,990,23,0.0
03/01/2002,2002030106,40,202,Mitag,3,6.6,147.9,985,28,0.0
03/01/2002,2002030112,40,202,Mitag,3,6.6,146.9,985,28,0.0
03/01/2002,2002030118,40,202,Mitag,3,6.7,145.5,980,30,0.0
03/02/2002,2002030200,40,202,Mitag,3,7.0,144.3,980,30,0.0
03/02/2002,2002030206,40,202,Mitag,4,7.5,142.9,975,33,0.0
03/02/2002,2002030212,40,202,Mitag,4,8.0,141.0,970,35,0.0
03/02/2002,2002030218,40,202,Mitag,4,8.5,139.5,965,35,0.0
03/03/2002,2002030300,40,202,Mitag,4,8.9,138.1,965,35,0.0
03/03/2002,2002030306,40,202,Mitag,4,9.5,136.8,960,40,0.0
03/03/2002,2002030312,40,202,Mitag,4,10.2,135.3,960,40,0.0
03/03/2002,2002030318,40,202,Mitag,4,10.6,134.2,960,40,0.0
03/04/2002,2002030400,40,202,Mitag,5,10.8,133.2,955,45,0.0
03/04/2002,2002030406,40,202,Mitag,5,11.1,132.5,955,45,0.0
03/04/2002,2002030412,40,202,Mitag,5,11.9,132.0,955,45,0.0
03/04/2002,2002030418,40,202,Mitag,5,12.5,131.2,955,45,0.0
03/05/2002,2002030500,40,202,Mitag,5,13.1,130.5,955,45,0.0
03/05/2002,2002030506,40,202,Mitag,5,13.8,130.1,945,50,0.0
03/05/2002,2002030512,40,202,Mitag,5,14.3,129.9,945,50,0.0
03/05/2002,2002030518,40,202,Mitag,5,14.9,129.9,945,50,0.0
03/06/2002,2002030600,40,202,Mitag,5,15.6,130.1,945,50,0.0
03/06/2002,2002030606,40,202,Mitag,5,16.1,130.4,945,50,0.0
03/06/2002,2002030612,40,202,Mitag,5,16.7,131.0,955,45,0.0
03/06/2002,2002030618,40,202,Mitag,4,17.1,131.5,965,40,0.0
03/07/2002,2002030700,40,202,Mitag,4,17.6,132.4,970,35,0.0
03/07/2002,2002030706,40,202,Mitag,3,18.1,133.5,980,30,0.0
03/07/2002,2002030712,40,202,Mitag,3,18.3,134.6,985,25,0.0
03/07/2002,2002030718,40,202,Mitag,2,18.3,135.2,990,20,0.0
03/08/2002,2002030800,40,202,Mitag,2,17.7,135.4,995,18,0.0
03/08/2002,2002030806,40,202,Mitag,1,17.1,135.3,1000,15,0.0
03/08/2002,2002030812,40,202,Mitag,1,16.7,134.8,1004,12,0.0
05/15/2002,2002051506,29,203,Hagibis,1,7.3,149.4,1004,12,0.0
05/15/2002,2002051512,29,203,Hagibis,1,8.0,147.7,1004,12,0.0
05/15/2002,2002051518,29,203,Hagibis,1,8.9,146.7,1002,15,0.0
05/16/2002,2002051600,29,203,Hagibis,1,9.9,145.8,1002,15,0.0
05/16/2002,2002051606,29,203,Hagibis,1,11.5,144.7,1002,15,0.0
05/16/2002,2002051612,29,203,Hagibis,2,12.4,143.1,998,18,0.0
05/16/2002,2002051618,29,203,Hagibis,2,12.8,141.7,996,18,0.0
05/17/2002,2002051700,29,203,Hagibis,2,13.0,140.8,995,20,0.0
05/17/2002,2002051706,29,203,Hagibis,2,13.4,140.0,990,23,0.0
05/17/2002,2002051712,29,203,Hagibis,3,13.8,139.5,985,25,0.0
05/17/2002,2002051718,29,203,Hagibis,3,14.5,139.3,985,25,0.0
05/18/2002,2002051800,29,203,Hagibis,3,15.4,139.2,980,30,0.0
05/18/2002,2002051806,29,203,Hagibis,3,16.1,139.3,980,30,0.0
05/18/2002,2002051812,29,203,Hagibis,4,16.8,139.7,970,35,0.0
05/18/2002,2002051818,29,203,Hagibis,4,17.2,140.0,970,35,0.0
05/19/2002,2002051900,29,203,Hagibis,4,17.7,140.5,960,40,0.0
05/19/2002,2002051906,29,203,Hagibis,5,18.4,141.2,950,45,0.0
05/19/2002,2002051912,29,203,Hagibis,5,19.3,142.1,950,45,0.0
05/19/2002,2002051918,29,203,Hagibis,5,20.7,143.2,950,45,0.0
05/20/2002,2002052000,29,203,Hagibis,4,22.5,144.6,960,40,0.0
05/20/2002,2002052006,29,203,Hagibis,4,24.7,146.6,970,35,0.0
05/20/2002,2002052012,29,203,Hagibis,4,27.0,149.3,970,35,0.0
05/20/2002,2002052018,29,203,Hagibis,4,29.8,152.6,975,33,0.0
05/21/2002,2002052100,29,203,Hagibis,3,32.9,155.9,980,30,0.0
05/21/2002,2002052106,29,203,Hagibis,3,35.4,161.0,980,30,0.0
05/21/2002,2002052112,29,203,Hagibis,3,37.6,164.4,985,25,0.0
05/21/2002,2002052118,29,203,Hagibis,9,38.3,169.1,990,20,0.0
05/22/2002,2002052200,29,203,Hagibis,9,38.6,173.7,996,20,0.0
05/22/2002,2002052206,29,203,Hagibis,9,39.8,179.4,998,15,0.0
06/05/2002,2002060500,23,204,Noguri,1,19.7,112.8,1004,12,0.0
06/05/2002,2002060506,23,204,Noguri,1,19.8,113.3,1002,12,0.0
06/05/2002,2002060512,23,204,Noguri,1,19.9,113.8,1002,12,0.0
06/05/2002,2002060518,23,204,Noguri,1,19.9,114.5,1002,12,0.0
06/06/2002,2002060600,23,204,Noguri,1,19.9,114.9,1000,15,0.0
06/06/2002,2002060606,23,204,Noguri,1,20.0,115.5,1000,15,0.0
06/06/2002,2002060612,23,204,Noguri,1,20.0,116.3,998,15,0.0
06/06/2002,2002060618,23,204,Noguri,1,20.0,117.0,998,15,0.0
06/07/2002,2002060700,23,204,Noguri,1,20.1,118.0,998,15,0.0
06/07/2002,2002060706,23,204,Noguri,1,20.3,118.8,998,15,0.0
06/07/2002,2002060712,23,204,Noguri,1,20.4,119.9,998,15,0.0
06/07/2002,2002060718,23,204,Noguri,1,20.6,121.1,998,15,0.0
