date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
04/14/2008,2008041400,24,801,Neoguri,1,8.8,121.6,1004,12,0.0
04/14/2008,2008041406,24,801,Neoguri,1,9.0,120.3,1004,12,0.0
04/14/2008,2008041412,24,801,Neoguri,1,9.2,119.2,1002,15,0.0
04/14/2008,2008041418,24,801,Neoguri,1,9.7,118.2,1002,15,0.0
04/15/2008,2008041500,24,801,Neoguri,1,10.2,117.1,1000,15,0.0
04/15/2008,2008041506,24,801,Neoguri,2,10.6,116.3,998,18,0.0
04/15/2008,2008041512,24,801,Neoguri,2,11.8,115.3,995,20,0.0
04/15/2008,2008041518,24,801,Neoguri,2,12.6,114.3,990,23,0.0
04/16/2008,2008041600,24,801,Neoguri,3,13.1,113.1,985,28,0.0
04/16/2008,2008041606,24,801,Neoguri,4,13.4,112.5,975,33,0.0
04/16/2008,2008041612,24,801,Neoguri,4,13.8,112.4,970,35,0.0
04/16/2008,2008041618,24,801,Neoguri,4,14.6,112.3,970,35,0.0
04/17/2008,2008041700,24,801,Neoguri,4,15.2,112.1,965,40,0.0
04/17/2008,2008041706,24,801,Neoguri,4,15.9,112.0,960,40,0.0
04/17/2008,2008041712,24,801,Neoguri,4,16.4,111.9,960,40,0.0
04/17/2008,2008041718,24,801,Neoguri,4,17.1,111.6,960,40,0.0
04/18/2008,2008041800,24,801,Neoguri,4,17.9,111.4,960,40,0.0
04/18/2008,2008041806,24,801,Neoguri,4,18.5,111.3,970,35,0.0
04/18/2008,2008041812,24,801,Neoguri,4,19.1,111.2,975,33,0.0
04/18/2008,2008041818,24,801,Neoguri,3,20.1,111.0,990,25,0.0
04/19/2008,2008041900,24,801,Neoguri,2,20.7,111.4,990,23,0.0
04/19/2008,2008041906,24,801,Neoguri,2,21.7,112.1,998,18,0.0
04/19/2008,2008041912,24,801,Neoguri,1,22.9,112.9,998,15,0.0
04/19/2008,2008041918,24,801,Neoguri,1,24.5,113.6,1000,12,0.0
05/07/2008,2008050700,29,802,Rammasun,1,7.7,133.3,1004,15,0.0
05/07/2008,2008050706,29,802,Rammasun,1,7.7,132.5,1000,15,0.0
05/07/2008,2008050712,29,802,Rammasun,1,7.9,131.8,1000,15,0.0
05/07/2008,2008050718,29,802,Rammasun,2,8.2,131.5,996,18,0.0
05/08/2008,2008050800,29,802,Rammasun,2,8.6,131.3,996,18,0.0
05/08/2008,2008050806,29,802,Rammasun,2,9.0,131.3,995,20,0.0
05/08/2008,2008050812,29,802,Rammasun,2,9.6,131.4,990,23,0.0
05/08/2008,2008050818,29,802,Rammasun,3,10.2,131.6,990,25,0.0
05/09/2008,2008050900,29,802,Rammasun,3,11.1,132.1,985,28,0.0
05/09/2008,2008050906,29,802,Rammasun,4,12.0,132.1,975,33,0.0
05/09/2008,2008050912,29,802,Rammasun,4,12.7,132.1,960,40,0.0
05/09/2008,2008050918,29,802,Rammasun,5,13.6,132.1,950,45,0.0
05/10/2008,2008051000,29,802,Rammasun,5,14.5,132.0,940,50,0.0
05/10/2008,2008051006,29,802,Rammasun,5,15.5,132.1,940,50,0.0
05/10/2008,2008051012,29,802,Rammasun,6,16.8,132.0,935,55,0.0
05/10/2008,2008051018,29,802,Rammasun,6,18.1,131.9,935,55,0.0
05/11/2008,2008051100,29,802,Rammasun,6,19.4,131.8,935,55,0.0
05/11/2008,2008051106,29,802,Rammasun,5,20.7,132.1,940,50,0.0
05/11/2008,2008051112,29,802,Rammasun,5,22.0,132.7,950,45,0.0
05/11/2008,2008051118,29,802,Rammasun,4,23.6,133.5,960,40,0.0
05/12/2008,2008051200,29,802,Rammasun,4,25.2,134.5,960,40,0.0
05/12/2008,2008051206,29,802,Rammasun,4,27.3,135.9,970,35,0.0
05/12/2008,2008051212,29,802,Rammasun,3,29.2,138.4,980,30,0.0
05/12/2008,2008051218,29,802,Rammasun,3,30.3,140.2,985,25,0.0
05/13/2008,2008051300,29,802,Rammasun,9,31.8,141.9,990,20,0.0
05/13/2008,2008051306,29,802,Rammasun,9,32.9,143.8,992,18,0.0
05/13/2008,2008051312,29,802,Rammasun,9,33.6,145.4,1000,15,0.0
